State,Constituency Name,Candidate,Party,Votes Margin,Year
Tamil Nadu,Sriperumbudur,Krishnaswamy. A,DMK,235346,2004
Haryana,Ambala,Selja,INC,234935,2004
Bihar,Vaishali,Veena Devi,LJP,234584,2019
Maharashtra,Osmanabad,Gaikwad Ravindra Vishwanath,SHS,234325,2014
Orissa,Bhubaneswar,Prasanna Kumar Patasani,BJD,233961,1999
Rajasthan,Jhunjhunu,Santosh Ahlawat,BJP,233835,2014
West Bengal,Ranaghat,Jagannath Sarkar,BJP,233428,2019
Uttarakhand,Almora,Shri Ajay Tamta,BJP,232986,2019
Gujarat,Kheda,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),BJP,232901,2014
Orissa,Aska,Nityananda Pradhan,BJD,232834,2009
Uttar Pradesh,Salempur,Ravindra Kushawaha,BJP,232342,2014
Uttar Pradesh,Meerut,Rajendra Agarwal,BJP,232326,2014
Uttar Pradesh,Mirzapur,Anupriya Patel,AD,232008,2019
Haryana,Rohtak,Deependra Singh,INC,231958,2004
Tamil Nadu,Palani,"Kharventhan, S. K.",INC,231493,2004
Karnataka,Bangalore Rural,D K Suresh,INC,231480,2014
Madhya Pradesh,Satna,Shri Ganesh Singh,BJP,231473,2019
Tamil Nadu,Arani,Vishnu Prasad M.K,INC,230806,2019
Bihar,Maharajganj,Janardan Singh Sigriwal,BJP,230772,2019
West Bengal,Joynagar,Sanat Kumar Mandal,RSP,230521,2004
Gujarat,Dahod,Jasvantsinh Sumanbhai Bhabhor,BJP,230354,2014
West Bengal,Bankura,Acharia Basudeb,CPM,230329,2004
West Bengal,Kolkata Dakshin,Subrata Bakshi,AITC,230099,2009
West Bengal,Asansol,Bansagopal Choudhury,CPI(M),229941,2004
Gujarat,Porbandar,Shri Ramesh Lavjibhai Dhaduk,BJP,229823,2019
Delhi,East Delhi,Sandeep Dikshit,INC,229779,2004
Karnataka,Bangalore North,D.V Sadananda Gowda,BJP,229764,2014
Assam,Dhubri,Badruddin Ajmal,AUDF,229730,2014
West Bengal,Kanthi,Adhikari Sisir Kumar,AITC,229490,2014
Tamil Nadu,Sivaganga,Senthilnathan Pr,AIADMK,229385,2014
Uttar Pradesh,Aligarh,Satish Kumar Gautam,BJP,229261,2019
Maharashtra,Dhule,Dr. Subhash Ramrao Bhamre,BJP,229243,2019
Madhya Pradesh,Rajgarh,Rodmal Nagar,BJP,228737,2014
Karnataka,Bangalore South,Ananth Kumar,BJP,228575,2014
Andhra Pradesh,Tirupati,Balli Durga Prasad Rao,YSRCP,228376,2019
Delhi,Chandni Chowk,Dr. Harshvardhan,BJP,228145,2019
Uttar Pradesh,Ghazipur,Afajal Ansari,SP,226777,2004
West Bengal,Cooch Behar,Hiten Barman,AIFB,226569,2004
Maharashtra,Mumbai North East,Shri Manoj Kotak,BJP,226486,2019
West Bengal,Murshidabad,Abu Taher Khan,AITC,226417,2019
Assam,Dhubri,Badruddin Ajmal,AIUDF,226258,2019
Bihar,Hajipur,Ramvilas Paswan,LJP,225500,2014
Andhra Pradesh,Araku,GODDETI MADHAVI,YSRCP,224089,2019
Delhi,Outer Delhi,Sajjan Kumar,INC,223790,2004
Tamil Nadu,Kallakurichi,Kamaraj. K,AIADMK,223507,2014
Karnataka,Shimoga,B.Y.Raghavendra.,BJP,223360,2019
Orissa,Sundargarh,Shri Jualo Oram,BJP,223065,2019
Uttar Pradesh,Kanpur,Dr.Murli Manohar Joshi,BJP,222946,2014
Orissa,Keonjhar,Ananta Nayak,BJP,222553,1999
Bihar,Muzaffarpur,Ajay Nishad,BJP,222422,2014
Delhi,North East Delhi,Jai Prakash Agarwal,INC,222243,2009
Uttar Pradesh,Farrukhabad,Mukesh Rajput,BJP,221702,2019
Tamil Nadu,Madras South,"Baalu, T. R.",DMK,220740,2004
Uttar Pradesh,Baghpat,Ajit Singh,RLD,220638,2004
Uttar Pradesh,Gorakhpur,Yogi Adityanath,BJP,220271,2009
Haryana,Sirsa,Dr. Sushil Kumar Indora,INLD,219726,1999
West Bengal,ata Dakshin,Mamata Banerjee,AITC,219571,2009
Uttar Pradesh,Mirzapur,Anupriya Singh Patel,AD,219079,2014
Uttar Pradesh,Kheri,Ajay Kumar Mishra,BJP,218807,2019
Uttar Pradesh,Lucknow,Atal Bihari Vajpayee,BJP,218375,2004
Gujarat,Gandhinagar,L. K. Advani,BJP,217138,2004
Andhra Pradesh,Hanamkonda,B.Vinod Kumar,TRS,217067,2004
Andhra Pradesh,Miryalguda,Jaipal Reddy Sudini,INC,216907,2004
Chhattisgarh,Raigarh,Vishnu Deo Sai,BJP,216750,2014
Tamil Nadu,Tiruchirappalli,Ganesan. L,MDMK,216725,2004
Tamil Nadu,Nagapattinam,"Vijayan, A. K. S.",DMK,216223,2004
Tamil Nadu,Dharmapuri,"Senthil, Dr. R.",PMK,216090,2004
Maharashtra,Nagpur,Shri Nitin Jairam Gadkari,BJP,216009,2019
Maharashtra,Maval,Shrirang Barne,SHS,215913,2019
Maharashtra,Wardha,Ramdas Chandrabhanji Tadas,BJP,215783,2014
Gujarat,Bardoli,Shri Parbhu Bhai Vasava,BJP,215447,2019
West Bengal,Uluberia,Sajda Ahmed,AITC,215359,2019
Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,YSRCP,214851,2019
Tamil Nadu,Gobichettipalayam,"Elangovan, E. V. K. S.",INC,214477,2004
West Bengal,Calcutta South,Mamata Banerjee,AITC,214008,1999
Madhya Pradesh,Damoh,Prahalad Singh Patel,BJP,213299,2014
Tamil Nadu,Perambalur,"Marutharajaa, R.P.",AIADMK,213048,2014
Uttar Pradesh,Barabanki,Priyanka Singh Rawat,BJP,211878,2014
Punjab,Sangrur,Bhagwant Mann,AAP,211721,2014
Tamil Nadu,Erode,Selvakumara Chinnayan S,AIADMK,211563,2014
Uttar Pradesh,Agra,Prof.S. P. Singh Baghel,BJP,211546,2019
Tamil Nadu,Nagapattinam,M Selvaraj,CPM,211353,2019
Orissa,Puri,Pinaki Misra,BJD,211305,2009
Karnataka,Chikkaballapur,R.L. Jalappa,INC,211186,1999
Tamil Nadu,Erode,Ganeshamurthi A,DMK,210618,2019
Haryana,Mahendragarh,Inderjit Singh,INC,210341,2004
Karnataka,Kolar,S. Muniswamy,BJP,210021,2019
Assam,Kaliabor,Gaurav Gogoi,INC,209994,2019
Uttar Pradesh,Baghpat,Dr. Satya Pal Singh,BJP,209866,2014
Maharashtra,Ahmednagar,Gandhi Dilipkumar Mansukhlal,BJP,209122,2014
Orissa,Kendrapara,Baijayant Panda,BJD,209108,2014
Gujarat,Mehsana,Patel Jayshreeben Kanubhai,BJP,208891,2014
Bihar,Madhepura,Rajesh Ranjan Alias Pappu Yadav,RJD,208860,2004
Madhya Pradesh,Tikamgarh,Dr. Virendra Kumar,BJP,208731,2014
Madhya Pradesh,Jabalpur,Rakesh Singh,BJP,208639,2014
Gujarat,Valsad,Dr. K.C.Patel,BJP,208004,2014
Karnataka,Bangalore Rural,D.K Suresh,INC,206870,2019
Maharashtra,Jalna,Danve Raosaheb Dadarao,BJP,206798,2014
West Bengal,Barrackpore,Dinesh Trivedi,AITC,206773,2014
Tamil Nadu,Krishnagiri,Ashok Kumar.K,AIADMK,206591,2014
Tamil Nadu,Nilgiris,Raja A.,DMK,205823,2019
Uttar Pradesh,Bijnor,Kunwar Bhartendra,BJP,205774,2014
Bihar,Hajipur (Sc),Pashupati Kumar Paras,LJP,205449,2019
Orissa,Cuttack,Bhartruhari Mahtab,BJD,205317,1999
Telangana,Karimnagar,Vinod Kumar Boinapally,TRS,205077,2014
Karnataka,Dharwad,Pralhad Joshi,BJP,205072,2019
West Bengal,Purulia,Shri Jyotirmoy Mahto,BJP,204732,2019
Orissa,Aska,Pramila Bisoi,BJD,204707,2019
Tripura,Tripura East,Rebati Tripura,BJP,204290,2019
West Bengal,Mathurapur,Choudhary Mohan Jatua,AITC,203974,2019
Haryana,Bhiwani,Ajay Singh Chautala,INLD,203406,1999
Tamil Nadu,Cuddalore,Arunmozhithevan.A,AIADMK,203125,2014
Maharashtra,Akola,Dhotre Sanjay Shamrao,BJP,203116,2014
Gujarat,Surendranagar,Fatepara Devajibhai Govindbhai,BJP,202907,2014
Madhya Pradesh,Khargone,Shri Gajendra Patel,BJP,202510,2019
Delhi,Outer Delhi,Sahib Singh Verma,BJP,202472,1999
Telangana,Hyderabad,Asaduddin Owaisi,AIMIM,202454,2014
Gujarat,Banaskantha,Chaudhary Haribhai Parthibhai,BJP,202334,2014
West Bengal,Ranaghat,Tapas Mandal,AITC,201767,2014
Andhra Pradesh,Karimnagar,K. Chandra Shakher Rao,TRS,201582,2004
West Bengal,Arambagh,Sakti Mohan Malik,CPM,201558,2009
Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,BJP,201431,2019
West Bengal,Uluberia,Sultan Ahmed,AITC,201222,2014
Uttar Pradesh,Etah,Rajveer Singh (Raju Bhaiya),BJP,201001,2014
Rajasthan,Kota,Om Birla,BJP,200782,2014
Delhi,Chandni Chowk,Kapil Sibal,INC,200710,2009
Bihar,Banka,Girdhari Yadav,JD(U),200532,2019
Maharashtra,Shirdi,Lokhande Sadashiv Kisan,SHS,199922,2014
Madhya Pradesh,Bhind,Smt. Sandhya Rai,BJP,199885,2019
Rajasthan,Banswara,Tarachand Bhagora,INC,199418,2009
Andhra Pradesh,Tirupati,Chinta Mohan,INC,199328,2004
Jharkhand,Ranchi,Ram Tahal Choudhary,BJP,199303,2014
Punjab,Firozpur,Sukhbir Singh Badal,SAD,198850,2019
Maharashtra,Dindori,Dr. Bharati Pawar,BJP,198779,2019
Tripura,Tripura West,Samar Chowdhury,CPM,198399,1999
Uttar Pradesh,Fatehpur,Niranjan Jyoti,BJP,198205,2019
Uttar Pradesh,Sambhal,Pro. Ram Gopal Yadav,SP,198061,2004
West Bengal,Asansol,Shri Babul Supriyo,BJP,197637,2019
Tamil Nadu,Madurai,R.Gopalakrishnan,AIADMK,197436,2014
Maharashtra,Bhandara - Gondiya,Shri Sunil Baburao Mendhe,BJP,197394,2019
West Bengal,Darjeeling,S.S.Ahluwalia,BJP,197239,2014
Puducherry,Puducherry,V. Vaithilingam,INC,197025,2019
West Bengal,Howrah,Prasun Banerjee,AITC,196956,2014
Maharashtra,Karad,Patil Shriniwas Dadasaheb,NCP,196730,2004
Rajasthan,Pali,Badri Ram Jakhar,INC,196717,2009
Tamil Nadu,Mayiladuthurai,Mani Shankar Aiyar,INC,195691,2004
Tamil Nadu,Karur,"Thambidurai,M.",AIADMK,195247,2014
Bihar,Kishanganj,Mohammad Asrarul Haque,INC,194612,2014
Jharkhand,Kodarma,Babu Lal Marandi,IND,194140,2004
Madhya Pradesh,Indore,Sumitra Mahajan,BJP,193936,2004
Gujarat,Patan,Shri Bharatsinh Dabhi Thakor,BJP,193879,2019
Tamil Nadu,Viluppuram,Rajendran S,AIADMK,193367,2014
Telangana,Nalgonda,Gutha Sukhender Reddy,INC,193156,2014
Bihar,Gopalganj,Anirudh Prasad Alias Sadhu Yadav,RJD,192919,2004
Uttarakhand,Tehri Garhwal,Mala Rajya Laxmi Shah,BJP,192503,2014
Andhra Pradesh,Araku,V. Kishore Chandra Deo,INC,192444,2009
Bihar,Purvi Champaran,Radha Mohan Singh,BJP,192163,2014
West Bengal,Birbhum,Ram Chandra Dome,CPM,191612,2004
Delhi,North West Delhi,Smt. Krishna Tirath,INC,191456,2009
Tamil Nadu,Karur,"Palanisamy, K. C.",DMK,190876,2004
Uttar Pradesh,Robertsganj,Chhotelal,BJP,190486,2014
Uttar Pradesh,Jhansi,Uma Bharati,BJP,190467,2014
Delhi,East Delhi,Maheish Girri,BJP,190463,2014
Andhra Pradesh,Kadapa,Y.S. Avinash Reddy,YSRCP,190323,2014
Assam,Kokrajhar,Sansuma Khunggur Bwiswmuthiary,BOPF,190322,2009
Karnataka,Hassan,H. D. Devegowda,JD(S),190305,2004
West Bengal,Tamluk,Dibyendu Adhikari,AITC,190165,2019
Uttar Pradesh,Etawah,Raghuraj Singh Shakya,SP,190157,2004
Telangana,Nagarkurnool,Pothuganti Ramulu,TRS,189748,2019
Uttar Pradesh,Bansgaon,Kamlesh Paswan,BJP,189516,2014
Orissa,Bhubaneswar,Prasanna Kumar Patasani,BJD,189477,2014
Bihar,Munger,Rajiv Ranjan (Lalan) Singh,JD(U),189361,2009
West Bengal,Hooghly,Dr. Ratna De (Nag),AITC,189084,2014
Gujarat,Gandhinagar,Lal Krishna Advani (L K Advani),BJP,188944,1999
Madhya Pradesh,Chhindwara,Kamal Nath,INC,188928,1999
Delhi,New Delhi,Ajay Maken,INC,187809,2009
Maharashtra,Nashik,Godse Hemant Tukaram,SHS,187336,2014
Uttar Pradesh,Fatehpur,Niranjan Jyoti,BJP,187206,2014
Maharashtra,Wardha,Shri Ramdas Chandrabhanji Tadas,BJP,187191,2019
West Bengal,Baharampur,Adhir Ranjan Chowdhury,INC,186977,2009
Maharashtra,Mumbai-North-Central,Poonam Mahajan Alias Poonam Vajendla Rao,BJP,186771,2014
Orissa,Dhenkanal,Tathagata Satpathy,BJD,186587,2009
West Bengal,Bolpur,Somnath Chatterjee,CPM,186389,1999
Bihar,Purnia,Uday Singh,BJP,186227,2009
Tamil Nadu,Tirunelveli,Gnanathiraviam S,DMK,185457,2019
Assam,Dibrugarh,Rameswar Teli,BJP,185347,2014
West Bengal,Katwa,Abu Ayes Mondal,CPM,185329,2004
West Bengal,Medinipur,Sandhya Roy,AITC,184666,2014
Uttarakhand,Garhwal,(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),BJP,184526,2014
Uttar Pradesh,Dhaurahra,Jitin Prasada,INC,184509,2009
Assam,Dhubri,Maulana Badruddin Ajmal,AUDF,184419,2009
Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,BJP,184275,2019
Jharkhand,Godda,Shri Nishikant Dubey,BJP,184227,2019
West Bengal,Jalpaiguri,Dr Jayanta Kumar Ray,BJP,184004,2019
Bihar,Valmiki Nagar,Baidyanath Prasad Mahto,JD(U),183675,2009
Maharashtra,Mumbai-North-West,Gajanan Chandrakant Kirtikar,SHS,183028,2014
Haryana,Hisar,Jai Parkash,INC,182768,2004
Bihar,Hazaribagh,Yashwant Sinha,BJP,182642,1999
Karnataka,Chikkballapur,Shri B N Bache Gowda,BJP,182110,2019
West Bengal,Basirhat,Ajay Chakraborty,CPI,182084,2004
Tamil Nadu,Tiruchendur,Radhika Selvi. V,DMK,181681,2004
Karnataka,Udupi Chikmagalur,Shobha Karandlaje,BJP,181643,2014
West Bengal,Vishnupur,Sandhya Bauri,CPM,181570,1999
Rajasthan,Nagaur,Hanuman Beniwal,BJP,181260,2019
Orissa,Kandhamal,Hemendra Chandra Singh,BJD,181017,2014
Orissa,Bolangir,Sangeeta Kumari Singh Deo,BJP,180979,1999
Tamil Nadu,Tiruppattur,"Venugopal, D.",DMK,180902,2004
West Bengal,Jalpaiguri,Minati Sen,CPM,180605,2004
Gujarat,Chhota Udaipur,Ramsinh Rathwa,BJP,179729,2014
Tamil Nadu,Tiruchengode,Subbulakshmi Jagadeesan,DMK,179397,2004
Orissa,Bhadrak,Arjun Charan Sethi,BJD,179359,2014
Tamil Nadu,Tiruppur,V.Sathyabama,AIADMK,179315,2014
Tamil Nadu,Coimbatore,P. R. Natarajan,CPM,179143,2019
Uttar Pradesh,Sultanpur,Feroze Varun Gandhi,BJP,178902,2014
Maharashtra,Shirur,Shivaji Adhalrao Patil,SHS,178611,2009
Tamil Nadu,Vellore,"Kader Mohideen, K. M",DMK,178610,2004
Maharashtra,Ratnagiri - Sindhudurg,Vinayak Raut,SHS,178322,2019
Jharkhand,Chatra,Sunil Kumar Singh,BJP,178026,2014
Uttarakhand,Hardwar,Ramesh Pokhriyal Nishank,BJP,177822,2014
Maharashtra,Hatkanangle,Raju Shetty,SWP,177810,2014
Bihar,Madhepura,Sharad Yadav,JD(U),177621,2009
Delhi,West Delhi,Mahabal Mishra,INC,176928,2009
Chhattisgarh,Bilaspur,Lakhan Lal Sahu,BJP,176436,2014
Tamil Nadu,Pollachi,K Shanmuga sundaram,DMK,175883,2019
Maharashtra,Ramtek,Krupal Balaji Tumane,SHS,175791,2014
Tamil Nadu,Salem,Thangkabalu K. V.,INC,175627,2004
Karnataka,Bangalore North,C.K Jaffar Sharief,INC,175605,1999
Gujarat,Jamnagar,Poonamben Hematbhai Maadam,BJP,175289,2014
Chhattisgarh,Janjgir-Champa,Kamla Patle,BJP,174961,2014
West Bengal,Purulia,Birsingh Mahato,FBL,174870,1999
Arunachal Pradesh,Arunachal West,Shri Kiren Rijiju,BJP,174843,2019
Uttar Pradesh,Sambhal,Shree Shafiqur Rahman Barq,SP,174826,2019
Andhra Pradesh,Rajampet,P.V.Midhun Reddy,YSRCP,174762,2014
Himachal Pradesh,Hamirpur,Anurag Singh Thakur,BJP,174666,2004
Maharashtra,Mumbai-North-Central,Smt. Priya Sunil Dutt,INC,174555,2009
West Bengal,Bankura,Dr Subhash Sarkar,BJP,174333,2019
Gujarat,Mandvi,Chaudhary Tusharbhai Amarsinhbhai,INC,173382,2004
Orissa,Cuttack,Bhartruhari Mahtab,BJD,173198,2004
West Bengal,Barasat,Dr. Kakali Ghoshdostidar,AITC,173141,2014
Uttar Pradesh,Fatehpur Sikri,Babulal,BJP,173106,2014
Uttar Pradesh,Mainpuri,Mulayam Singh Yadav,SP,173069,2009
West Bengal,Tamluk,Suvendu Adhikari,AITC,172958,2009
Uttar Pradesh,Etawah,Ashok Kumar Doharey,BJP,172946,2014
Punjab,Faridkot,Prof. Sadhu Singh,AAP,172516,2014
Karnataka,Kanara,Ananthkumar Hegde,BJP,172226,2004
Karnataka,Raichur,A. Venkatesh Naik,INC,172206,1999
Uttar Pradesh,Machhlishahr,Ram Charitra Nishad,BJP,172155,2014
Rajasthan,Ajmer,Sanwar Lal Jat,BJP,171983,2014
Uttar Pradesh,Phulpur,Keshri Devi Patel,BJP,171968,2019
Chhattisgarh,Raipur,Ramesh Bais,BJP,171646,2014
Maharashtra,Mumbai-North-West,Priya Sunil Dutt,INC,171544,2004
Telangana,Adilabad,Godam Nagesh,TRS,171290,2014
Haryana,Rohtak,Deepender Singh Hooda,INC,170627,2014
Gujarat,Panchmahal,Chauhan Prabhatsinh Pratapsinh,BJP,170596,2014
Andhra Pradesh,Secunderabad,M. Anjan Kumar Yadav,INC,170167,2009
Himachal Pradesh,Kangra,Shanta Kumar,BJP,170072,2014
Karnataka,Davanagere,G M Siddeshwar,BJP,169702,2019
Uttar Pradesh,Mathura,Jayant Chaudhary,RLD,169613,2009
Maharashtra,Mumbai-North-Central,Manohar Gajanan Joshi,SHS,168995,1999
Madhya Pradesh,Bhopal,Uma Bharti,BJP,168864,1999
Madhya Pradesh,Rewa,Janardan Mishra,BJP,168726,2014
Tamil Nadu,Tiruvannamalai,Vanaroja R,AIADMK,168606,2014
Maharashtra,Beed,Dr. Pritam Gopinath Munde,BJP,168368,2019
Uttar Pradesh,Pratapgarh,Kuwar Harivansh Singh,AD,168222,2014
Madhya Pradesh,Shajapur,Thawarchand Gehlot,BJP,168187,2004
Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,BJP,168187,2019
Assam,Kaliabor,Dip Gogoi,INC,168133,1999
Telangana,Khammam,Nama Nageswr Rao,TRS,168062,2019
Bihar,Munger,Rajiv Ranjan Singh alias Lalan Singh,JD(U),167937,2019
Uttar Pradesh,Barabanki,P.L. Punia,INC,167913,2009
Andhra Pradesh,Rajahmundry,Murali Mohan Maganti,TDP,167434,2014
Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,BJP,167383,2004
Uttar Pradesh,Bareilly,Santosh Kumar Gangwar,BJP,167282,2019
Telangana,Nizamabad,Kalvakuntla Kavitha,TRS,167184,2014
Uttar Pradesh,Rae Bareli,Sonia Gandhi,INC,167178,2019
Tamil Nadu,Tirunelveli,"Dhanuskodi Athithan, R.",INC,167075,2004
West Bengal,Hooghly,Rupchand Pal,CPM,166966,2004
Uttar Pradesh,Nagina,Girish Chandra,BSP,166832,2019
Bihar,Patna Sahib,Shatrughan Prasad Sinha,BJP,166770,2009
Uttar Pradesh,Gonda,Kirti Vardhan Singh,BJP,166360,2019
Uttar Pradesh,Badaun,Dharmendra Yadav,SP,166347,2014
Bihar,Supaul,Vishwa Mohan Kumar,JD(U),166075,2009
Andhra Pradesh,Narsapuram,Uppalapati Venkata Krishnam Raju,BJP,165948,1999
Andhra Pradesh,Eluru,Kotagiri Sridhar,YSRCP,165925,2019
Bihar,Sasaram (Sc),Chedi Paswan,BJP,165745,2019
Gujarat,Kapadvanj,Vaghela Shankarsinh Laxmansinh,INC,165381,1999
West Bengal,Barrackpore,Tarit Baran Topdar,CPM,165071,2004
Rajasthan,Udaipur,Raghuvir Singh Meena,INC,164925,2009
Haryana,Sonipat,Shri Ramesh Chandra Kaushik,BJP,164864,2019
Haryana,Karnal,Arvind Kumar Sharma,INC,164762,2004
Tamil Nadu,Sivakasi,"Ravichandran, A",MDMK,164517,2004
Tamil Nadu,Coimbatore,"Subbarayan, K.",CPI,164505,2004
Maharashtra,Sangli,Sanjaykaka Patil,BJP,164352,2019
Tamil Nadu,Nagercoil,Bellarmin. A. V.,CPM,164294,2004
West Bengal,Maldaha Dakshin,Abu Hasem Khan Chowdhury,INC,164111,2014
Haryana,Kurukshetra,Prof Kailasho Devi,INLD,163610,1999
Tamil Nadu,Sivaganga,"Chidambaram, P.",INC,162725,2004
Punjab,Patiala,Preneet Kaur,INC,162718,2019
Delhi,New Delhi,Meenakashi Lekhi,BJP,162708,2014
Maharashtra,Aurangabad,Chandrakant Bhaurao Khaire,SHS,162000,2014
Tamil Nadu,Tenkasi,Vasanthi.M,AIADMK,161774,2014
Uttar Pradesh,Lalganj,Smt. Sangeeta,BSP,161597,2019
Haryana,Sonipat,Jitender Singh Malik,INC,161284,2009
West Bengal,Midnapore,Prabodh Panda,CPI,160760,2004
Uttar Pradesh,Dhaurahra,Rekha Verma,BJP,160611,2019
Maharashtra,Sangli,Prakash (Bapu) Vasantrao Patil,INC,160560,1999
Bihar,Kishanganj,Taslimuddin,RJD,160497,2004
Haryana,Hisar,Surender Singh Barwala,INLD,160452,1999
Uttar Pradesh,Gonda,Kirti Vardhan Singh,BJP,160416,2014
Haryana,Kurukshetra,Naveen Jindal,INC,160190,2004
Madhya Pradesh,Bhind,Dr. Bhagirath Prasad,BJP,159961,2014
Tamil Nadu,Madras North,"Kuppusamy, C.",DMK,159789,1999
Maharashtra,Buldhana,Jadhav Prataprao Ganpatrao,SHS,159579,2014
Chhattisgarh,Surguja,Murarilal Singh,BJP,159549,2009
Jharkhand,Hazaribagh,Jayant Sinha,BJP,159128,2014
Maharashtra,Solapur,Dr. Jaysidhesvar Swami,BJP,158608,2019
Uttar Pradesh,Jalaun,Bhanu Pratap Singh Verma,BJP,158377,2019
Uttar Pradesh,Amroha,Kanwar Singh Tanwar,BJP,158214,2014
Uttar Pradesh,Bhadohi,Virendra Singh,BJP,158039,2014
Chhattisgarh,Sarguja,Smt. Renuka Singh Saruta,BJP,157873,2019
Madhya Pradesh,Betul,Khandelwal Vijay Kumar (Munni Bhaia),BJP,157540,2004
Maharashtra,Maval,Appa Alias Shrirang Chandu Barne,SHS,157397,2014
Orissa,Keonjhar,Sakuntala Laguri,BJD,157317,2014
West Bengal,Birbhum,Ram Chandra Dome,CPM,157156,1999
Tamil Nadu,Krishnagiri,Dr. A Chellakumar,INC,156765,2019
Uttar Pradesh,Chandauli,Dr Mahendra Nath Pandey,BJP,156756,2014
Rajasthan,Alwar,Jitendra Singh,INC,156619,2009
Tamil Nadu,Pudukkottai,"Regupathy, S.",DMK,156496,2004
Maharashtra,Bhiwandi,Shri Kapil Moreshwar Patil,BJP,156329,2019
Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,BJP,156232,2014
Madhya Pradesh,Dhar,Chattarsingh Darbar,BJP,156029,2019
Uttar Pradesh,Kanpur,Satyadev Pachauri,BJP,155934,2019
Maharashtra,Baramati,Supriya Sule,NCP,155774,2019
Jharkhand,Jamshedpur,Ajay Kumar,J.V.M (P),155726,2009
West Bengal,Kolkata Dakshin,Mala Roy,AITC,155192,2019
Tamil Nadu,Dindigul,"Chitthan, N. S. V.",INC,155171,2004
Rajasthan,Nagaur,Dr. (Smt.) Jyoti Mirdha,INC,155137,2009
West Bengal,Dum Dum,Saugata Roy,AITC,154934,2014
Tamil Nadu,Virudhunagar,Manickam Tagore,INC,154554,2019
Uttar Pradesh,Baghpat,Ajit Singh,RLD,154419,1999
Maharashtra,Mumbai-North,Ram Naik,BJP,154136,1999
Orissa,Kalahandi,Bhakta Charan Das,INC,154037,2009
Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,YSRCP,153978,2019
West Bengal,Purulia,Dr. Mriganka Mahato,AITC,153877,2014
West Bengal,Diamond Harbour,Samik Lahiri,CPM,153784,2004
Andhra Pradesh,Siddipet,M. Rajaiah,TDP,153721,1999
Uttar Pradesh,Bansgaon,Kamlesh Paswan,BJP,153468,2019
Kerala,Wayanad,M. I. Shanavas,INC,153439,2009
Tamil Nadu,Perambalur,"Raja, A.",DMK,153333,2004
Gujarat,Bharuch,Vasava Mansukhbhai Dhanjibhai,BJP,153273,2014
West Bengal,Alipurduars,Joachim Baxla,RSP,153133,1999
Andhra Pradesh,Nalgonda,Sukender Reddy Gutha,INC,152982,2009
Bihar,Nalanda,Kaushalendra Kumar,JD(U),152677,2009
Orissa,Kendrapara,Anubhav Mohanty,BJD,152584,2019
West Bengal,Serampore,Kalyan Banerjee,AITC,152526,2014
Orissa,Sundargarh,Jual Oram,BJP,152514,1999
Meghalaya,Shillong,Vincent H Pala,INC,152433,2019
Bihar,Gaya (Sc),Vijay Kumar,JD(U),152426,2019
Rajasthan,Jhalawar,Vansundhara Raje,BJP,152415,1999
Karnataka,Mandya,Amaranatha .M.H,INC,152180,1999
Maharashtra,Mumbai South Central,Rahul Shewale,SHS,152139,2019
West Bengal,Uluberia,Hannan Mollah,CPM,152115,2004
Karnataka,Bidar,Ramchandra Veerappa,BJP,152033,1999
Assam,Kaliabor,Dip Gogoi,INC,151989,2009
Haryana,Faridabad,Avtar Singh Bhadana,INC,151929,2004
West Bengal,Diamond Harbour,Somendra Nath Mitra,AITC,151689,2009
Tamil Nadu,Vandavasi,"Ramachandran Gingee, N.",MDMK,151433,2004
Orissa,Kandhamal,Rudra Madhab Ray,BJD,151007,2009
Gujarat,Surat,Kashiram Rana,BJP,150563,2004
Uttar Pradesh,Farrukhabad,Mukesh Rajput,BJP,150502,2014
Tripura,Tripura East,Baju Ban Riyan,CPM,150500,1999
Tamil Nadu,Tiruchirappalli,Kumar.P,AIADMK,150476,2014
Gujarat,Junagadh,Shri Rajeshbhai Naranbhai Chudasma,BJP,150185,2019
Maharashtra,Ratnagiri-Sindhudurg,Vinayak Bhaurao Raut,SHS,150051,2014
Jharkhand,Giridih,Tek Lal Mahto,JMM,149794,2004
Bihar,Arrah,Kanti Singh,RJD,149743,2004
West Bengal,Bishnupur,Khan Saumitra,AITC,149685,2014
Maharashtra,Solapur,Sharad Bansode,BJP,149674,2014
Rajasthan,Sikar,Mahadeo Singh Khandela,INC,149426,2009
Madhya Pradesh,Jhabua,Kantilal Bhuriya,INC,149377,1999
Orissa,Jagatsinghpur,Trilochan Kanungo,BJD,149282,1999
Maharashtra,Bhandara-Gondiya,Nanabhau Falgunrao Patole,BJP,149254,2014
Orissa,Kandhamal,Achyutananda Samanta,BJD,149216,2019
Maharashtra,Ratnagiri,Anant Geete,SHS,148968,2004
