State,Constituency Name,Candidate,Party,Votes Margin,Year
Chhattisgarh,Durg,Shri Vijay Baghel,BJP,391978,2019
Karnataka,Belgaum,Angadi Suresh Channabasappa,BJP,391304,2019
Delhi,East Delhi,Sh. Gautam Gambhir,BJP,391222,2019
Madhya Pradesh,Hoshangabad,Uday Pratap Singh,BJP,389960,2014
Madhya Pradesh,Vidisha,Smt. Sushma Swaraj,BJP,389844,2009
Haryana,Gurgaon,Rao Inderjit Singh,BJP,386256,2019
Tripura,Tripura West,Khagen Das,CPM,384636,2004
Haryana,Kurukshetra,Shri Nayab Singh Saini,BJP,384591,2019
Maharashtra,Jalgaon,A.T. Nana Patil,BJP,383525,2014
Rajasthan,Jalore,Devji Patel,BJP,381145,2014
Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,YSRCP,380976,2019
Gujarat,Chhota Udaipur,Mrs. Gitaben Vajesingbhai Rathva,BJP,377943,2019
Jharkhand,Chatra,Shri Sunil Kumar Singh,BJP,377871,2019
Madhya Pradesh,Mandsour,Shri Sudhir Gupta,BJP,376734,2019
Madhya Pradesh,Dewas,Shri Mahendra Solanki,BJP,372249,2019
Uttar Pradesh,Rae Bareli,Smt. Sonia Gandhi,INC,372165,2009
Uttar Pradesh,Varanasi,Narendra Modi,BJP,371784,2014
Madhya Pradesh,Bhopal,Alok Sanjar,BJP,370696,2014
Uttar Pradesh,Amethi,Rahul Gandhi,INC,370198,2009
Gujarat,Rajkot,Shri Mohan Bhai Kundariya,BJP,368407,2019
Gujarat,Banaskantha,Shri Parbatbhai Savabhai Patel,BJP,368296,2019
Tamil Nadu,Thanjavur,Palanimanickam.S.S,DMK,368129,2019
Gujarat,Kheda,Shri Devusinh Chauhan,BJP,367145,2019
Delhi,South Delhi,Sh. Ramesh Bidhuri,BJP,367043,2019
Maharashtra,Satara,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,NCP,366594,2014
Delhi,North East Delhi,Sh. Manoj Tiwari,BJP,366102,2019
Uttar Pradesh,Jhansi,Anurag Sharma,BJP,365683,2019
Madhya Pradesh,Ujjain,Shri Anil Firojiya,BJP,365637,2019
Madhya Pradesh,Bhopal,Sadhvi Pragya Singh Thakur,BJP,364822,2019
Uttar Pradesh,Mainpuri,Mulayam Singh Yadav,SP,364666,2014
Assam,Dibrugarh,Shri Rameswar Teli,BJP,364566,2019
Karnataka,Shimoga,B. S. Yeddyurappa,BJP,363305,2014
